iter	Logloss
0	0.6008064283
1	0.5274381711
2	0.4526894922
3	0.4085055036
4	0.3754326771
5	0.3316907455
6	0.3110787244
7	0.2929224052
8	0.2731868368
9	0.2584989128
10	0.2433965753
11	0.2327963509
12	0.2245690098
13	0.2158969262
14	0.2073525246
15	0.1986438085
16	0.1921241325
17	0.1881224513
18	0.1841773094
19	0.1780368992
20	0.17482219
21	0.1721007726
22	0.1686360482
23	0.1659812565
24	0.164252154
25	0.1608862034
26	0.1580731043
27	0.1561545721
28	0.1540245269
29	0.1526901557
30	0.150791061
31	0.1492841109
32	0.1478590711
33	0.1468344366
34	0.1457727126
35	0.144336249
36	0.1413195051
37	0.1401140319
38	0.1391469768
39	0.1383162181
40	0.1367103547
41	0.1357266902
42	0.1349439383
43	0.1344545258
44	0.1337328247
45	0.132306017
46	0.1307017491
47	0.1299121746
48	0.1292329213
49	0.1286914685
50	0.1281005876
51	0.1268282502
52	0.1262946499
53	0.1258625083
54	0.1255542187
55	0.1244766496
56	0.1238604689
57	0.1233974774
58	0.1228700766
59	0.122278805
60	0.1219389097
61	0.1209156243
62	0.1204350477
63	0.1185561214
64	0.1183059553
65	0.1180160823
66	0.1178432782
67	0.1173915582
68	0.1171537539
69	0.1164624525
70	0.1161645911
71	0.115852266
72	0.1151952383
73	0.1148563442
74	0.1144033187
75	0.1141643675
76	0.1133217973
77	0.1128290339
78	0.1124598232
79	0.1121660719
80	0.11142513
81	0.1103664878
82	0.1102491507
83	0.1095466766
84	0.1093049411
85	0.1089135878
86	0.1083497162
87	0.1079452036
88	0.1076800883
89	0.1074552358
90	0.1071776327
91	0.1067132541
92	0.1063049171
93	0.1053512261
94	0.1049674928
95	0.1047448175
96	0.1043002497
97	0.1041464201
98	0.1038271729
99	0.1035509081
100	0.1031563053
101	0.1029131403
102	0.1027590109
103	0.1025802901
104	0.1024708443
105	0.1022000645
106	0.1019318911
107	0.1017137407
108	0.1016787257
109	0.1015037176
110	0.1012475508
111	0.1009287782
112	0.1007381101
113	0.1005390063
114	0.1002962753
115	0.1000882587
116	0.1000143844
117	0.09991129489
118	0.09974096743
119	0.09964285683
120	0.09953735108
121	0.09933591839
122	0.09907963386
123	0.09888147725
124	0.09875001389
125	0.09858778594
126	0.09844414229
127	0.09819433903
128	0.0980065787
129	0.09781336796
130	0.09770965036
131	0.09762502738
132	0.09759228625
133	0.09741049274
134	0.09731306472
135	0.09714007345
136	0.09678733808
137	0.09660064463
138	0.09652852858
139	0.09636177582
140	0.09621046457
